Player,Pos.,2018 Team,2019 Team,Type,Snaps,Age,Current APY,Guarantees
Charcandrick West,RB,Chiefs,Chiefs,Signed,2.9%,27,790000,0
Alex Boone,LG,Cardinals,,UFA,0%,31,1400000,900000
Xavier Su'a-Filo,LG,Texans,Cowboys,Signed,45.8%,27,822500,50000
Jihad Ward,43DE,Raiders,Colts,Signed,13.8%,24,675000,0
Demarcus Lawrence,43DE,Cowboys,Cowboys,Signed,71.8%,26,17143000,17143000
Don Carey,S,Lions,,UFA,0%,31,1350000,375000
Ziggy Hood,34DE,Redskins,Dolphins,Signed,20.1%,31,915000,0
Senio Kelemete,C,Saints,Texans,Signed,81.8%,28,4000000,5000000
Robert Turbin,RB,Colts,,SFA,1.9%,29,1350000,500000
Benardrick McKinney,ILB,Texans,Texans,Signed,86.1%,26,10000000,16163880
Josh Gordon,WR,Browns,Patriots,Signed,56.7%,27,790001,0
Hau'oli Kikaha,43OLB,Saints,,SFA,0%,26,1316578,3199422
Austin Seferian-Jenkins,TE,Jets,Jaguars,Signed,21.3%,26,5000000,4000000
Colton Schmidt,P,Bills,,SFA,7%,28,1300000,400000
Marqise Lee,WR,Jaguars,Jaguars,Signed,0%,27,8500000,16500000
Eric Kendricks,ILB,Vikings,Vikings,Signed,84.2%,26,10000000,11638080
Eric Weems,WR,Titans,,SFA,0%,33,1287500,0
Jaquiski Tartt,S,49ers,49ers,Signed,40.7%,26,6500000,5521865
Lamarcus Joyner,S,Rams,Rams,Signed,89.8%,28,11287000,11287000
LeGarrette Blount,RB,Eagles,Lions,Signed,26.2%,32,2000000,2000000
Mason Foster,ILB,Redskins,Redskins,Signed,98.2%,29,2000000,500000
Albert McClellan,ILB,Ravens,Patriots,Signed,3.2%,32,790000,0
Tank Carder,ILB,Browns,,UFA,0%,29,1250000,300000
Anthony Sherman,FB,Chiefs,Chiefs,Signed,9.5%,30,2000000,0
Ben Watson,TE,Ravens,Saints,Signed,48%,38,2000000,645000
LaRoy Reynolds,ILB,Falcons,Eagles,Signed,0.5%,28,880000,0
Jordan Matthews,WR,Bills,Eagles,Signed,28.6%,26,790000,0
DeShone Kizer,QB,Browns,Packers,Signed,5.8%,22,1237103,2893772
James Develin,FB,Patriots,Patriots,Signed,35.4%,30,1800000,600000
Weston Richburg,C,Giants,49ers,Signed,91.6%,27,9500000,16500000
Seantrel Henderson,RT,Bills,Texans,Signed,1%,26,4000000,500000
James Hurst,LG,Ravens,Ravens,Signed,56.8%,27,4375000,6000000
Mike Campanaro,WR,Ravens,,UFA,0%,27,1200000,250000
Geno Smith,QB,Giants,Chargers,Signed,3.2%,28,1000000,200000
Frank Zombo,34OLB,Chiefs,Chiefs,Signed,2.5%,31,915000,0
Derek Carrier,TE,Rams,Raiders,Signed,22.3%,28,1850000,1900000
Nate Ebner,S,Patriots,Patriots,Signed,0.1%,30,2500000,1200000
Kenny Britt,WR,Patriots,,SFA,0%,30,1200000,0
DeShawn Shead,CB,Seahawks,Lions,Signed,25.1%,29,790000,0
Paul Richardson,WR,Seahawks,Redskins,Signed,36.1%,26,8000000,12500000
LaAdrian Waddle,LT,Patriots,Patriots,Signed,30.4%,27,1500000,200000
Christian Hackenberg,QB,Jets,,,0%,23,1165076,2039312
DeAngelo Hall,S,Redskins,,UFA,0%,35,1150000,0
Cedric Peerman,RB,Bengals,,UFA,0%,32,1150000,100000
Courtney Upshaw,43DE,Falcons,,UFA,0%,29,1150000,125000
Mitch Unrein,34DE,Bears,Buccaneers,Signed,0%,31,3500000,3000000
Obi Melifonwu,S,Raiders,Patriots,Signed,1.9%,24,690000,100000
Trent Murphy,34OLB,Redskins,Bills,Signed,43.4%,28,7500000,7875000
Nate Orchard,43DE,Browns,,SFA,3.5%,25,1116576,2581234
Clark Harris,LS,Bengals,Bengals,Signed,30.5%,34,1147500,180000
Su'a Cravens,ILB,Redskins,Broncos,Signed,10.9%,23,1107743,2523932
Don Jones,S,49ers,,SFA,0%,28,1100000,750000
Orleans Darkwa,RB,Giants,,UFA,0%,26,1100000,200000
Brice Butler,WR,Cowboys,Dolphins,Signed,13.1%,28,797500,0
Ross Cockrell,CB,Giants,Panthers,Signed,0%,27,3300000,2400000
Blair Walsh,K,Seahawks,,UFA,0%,28,1100000,0
Brandon Fusco,RG,49ers,Falcons,Signed,41.1%,30,4250000,4500000
Tavon Wilson,S,Lions,Lions,Signed,30.8%,28,3500000,3250000
LP Ladouceur,LS,Cowboys,Cowboys,Signed,31.7%,37,1105000,90000
Ryan Davis,43DE,Bills,,SFA,0%,29,1100000,100000
Sealver Siliga,43DT,Buccaneers,,UFA,0%,28,1100000,200000
Jordan Phillips,43DT,Dolphins,Bills,Signed,37.8%,26,1090727,2066338
Dwight Freeney,43DE,Lions,,UFA,0%,38,1080000,0
Jon Condo,LS,Raiders,Falcons,Signed,9.4%,37,1015000,0
Frostee Rucker,34DE,Cardinals,Raiders,Signed,53.7%,35,1040000,25000
Don Muhlbach,LS,Lions,Lions,Signed,32.3%,37,1105000,45000
John Denney,LS,Dolphins,Dolphins,Signed,32.4%,40,1015000,0
Eddie Pleasant,S,Texans,Packers,Signed,8%,30,790000,0
Jeremiah Attaochu,34OLB,Chargers,Jets,Signed,15.3%,25,1250000,0
T.J. Green,S,Colts,Seahawks,Signed,0%,23,630000,0
Ameer Abdullah,RB,Lions,Vikings,Signed,1.6%,25,1039032,2291551
Troy Niklas,TE,Cardinals,,UFA,0%,26,1005825,1848913
Cyrus Jones,CB,Patriots,Ravens,Signed,1.5%,25,905306,0
Leon Hall,CB,49ers,Raiders,Signed,35.6%,34,1105000,45000
Darren Fells,TE,Lions,Browns,Signed,38.5%,32,4000000,4650000
Eric Winston,RT,Bengals,,UFA,0%,35,1000000,0
Brandon Weeden,QB,Titans,Texans,Signed,0.1%,35,790000,0
James Harrison,43DE,Patriots,,UFA,0%,40,1000000,0
Demario Davis,ILB,Jets,Saints,Signed,85.1%,29,8000000,16000000
John Kuhn,FB,Saints,,UFA,0%,36,1000000,0
Khalif Barnes,RT,Cardinals,,UFA,0%,36,1000000,0
Tony McDaniel,43DT,Saints,,UFA,0%,33,1000000,0
Shareece Wright,CB,Bills,Texans,Signed,47.1%,31,915000,0
Mike Pennel,34DE,Jets,Jets,Signed,32%,27,3500000,3500000
Kellen Clemens,QB,Chargers,,UFA,0%,35,1000000,0
Mike Nugent,K,Bears,Raiders,Signed,5.9%,36,1015000,0
Pat Sims,43DT,Bengals,,UFA,0%,33,1000000,0
John Sullivan,C,Rams,Rams,Signed,95.8%,33,5250000,3249999
Rob Havenstein,RT,Rams,Rams,Signed,100%,25,8125000,9976365
Marcus Smith,43DE,Seahawks,Redskins,Signed,0.9%,26,797500,0
Tramaine Brock,CB,Vikings,Broncos,Signed,40.3%,30,3000000,3000000
Ramon Humber,43OLB,Bills,Patriots,Signed,7.5%,31,915000,0
Alterraun Verner,CB,Dolphins,,UFA,0%,30,980000,80000
Mike Tolbert,FB,Bills,,UFA,0%,33,980000,80000
Brandon Tate,WR,Bills,,UFA,0%,31,980000,50000
Lamarr Houston,34OLB,Bears,,UFA,0%,31,977941,0
Oday Aboushi,RG,Seahawks,Cardinals,Signed,43.3%,27,790000,0
Steven Means,43DE,Eagles,Falcons,Signed,14.7%,29,790000,0
Tyler Bray,QB,Chiefs,,UFA,0%,27,962500,0
Ali Marpet,C,Buccaneers,Buccaneers,Signed,100%,25,10825000,10117351
Jeremy Hill,RB,Bengals,Patriots,Signed,1.1%,26,1500000,150000
Quinten Rollins,CB,Packers,,SFA,0%,26,935642,1251864
Jordan Richards,S,Patriots,Falcons,Signed,39.4%,25,927887,1159308
Cody Latimer,WR,Broncos,Giants,Signed,20.2%,26,2500000,2475000
Keith Tandy,S,Buccaneers,,UFA,0.3%,29,925000,250000
Billy Winn,34DE,Broncos,,UFA,0%,29,925000,0
Carlos Hyde,RB,49ers,Jaguars,Signed,36%,27,5083333,5000000
Andre Ellington,RB,Texans,,UFA,0%,29,905000,80000
Davis Webb,QB,Giants,Jets,Signed,0%,23,555000,0
Chase Daniel,QB,Saints,Bears,Signed,13.7%,32,5000000,7000000
John Greco,RG,Giants,Giants,Signed,47.3%,33,1105000,90000
Garrison Sanborn,LS,Buccaneers,Buccaneers,Signed,28.7%,33,915000,0
Rey Maualuga,ILB,Dolphins,,SFA,0%,31,900000,0
Colt Anderson,S,Bills,,UFA,0%,33,900000,0
C.J. Spiller,RB,Chiefs,,UFA,0%,31,900000,0
Jairus Byrd,S,Panthers,,UFA,0%,32,900000,0
Louis Murphy,WR,49ers,,UFA,0%,31,900000,0
Ahtyba Rubin,43DT,Falcons,Raiders,Signed,0%,32,1015000,0
Sam Young,LT,Dolphins,Dolphins,Signed,13.4%,31,915000,0
Ricky Jean-Francois,43DE,Patriots,Lions,Signed,41%,32,1005000,0
John Phillips,TE,Saints,Cardinals,Signed,13.7%,31,915000,0
Brett Goode,LS,Packers,,UFA,0%,34,900000,0
Chandler Catanzaro,K,Jets,Panthers,Signed,26.8%,27,790000,0
Caleb Sturgis,K,Eagles,,UFA,13.8%,29,900000,250000
Leger Douzable,43DT,49ers,,UFA,0%,32,900000,0
Dannell Ellerbe,43OLB,Eagles,,UFA,0%,33,900000,0
Josh Johnson,QB,Texans,Redskins,Signed,20%,32,915000,0
Nick Novak,k,Chargers,,UFA,0%,37,900000,0
Joe Webb,WR,Bills,Texans,Signed,3.2%,32,915000,0
Will Beatty,LT,Eagles,,UFA,0%,33,900000,0
Carl Nassib,43DE,Browns,Buccaneers,Signed,57.1%,25,899716,889752
Jack Mewhort,RG,Colts,,UFA,0%,27,893450,1336128
Kony Ealy,34DE,Jets,Raiders,Signed,5.3%,27,790000,0
Teddy Williams,CB,Panthers,,SFA,0%,30,885000,80000
Arrelious Benn,WR,Jaguars,,UFA,0%,30,882500,100000
Allen Robinson,WR,Jaguars,Bears,Signed,71.1%,25,14000000,18000000
Josh Harris,LS,Falcons,Falcons,Signed,19.1%,29,808750,250000
Najee Goode,43OLB,Eagles,Colts,Signed,6.1%,29,790000,0
Patrick Omameh,LG,Jaguars,Jaguars,Signed,65.6%,29,790000,0
Jimmy Garoppolo,QB,49ers,49ers,Signed,18.7%,27,27500000,48700000
Jarvis Landry,WR,Dolphins,Browns,Signed,87.7%,26,15100000,34000000
Darian Thompson,S,Giants,Cowboys,Signed,0%,25,630000,0
Bronson Kaufusi,34DE,Ravens,Jets,Signed,4%,27,555000,0
Matt Tobin,LT,Seahawks,,UFA,0%,28,862500,300000
Jake McQuaide,LS,Rams,Rams,Signed,30%,31,1175000,955000
Bryan Witzmann,RT,Chiefs,Bears,Signed,49.5%,28,630000,0
Terence Garvin,43OLB,Seahawks,,UFA,0%,27,855000,60000
Blaine Gabbert,QB,Cardinals,Titans,Signed,21.4%,29,2000000,1000000
Austin Pasztor,RT,Falcons,Titans,Signed,0.4%,28,860000,0
Leonard Johnson,CB,Bills,,UFA,7.9%,28,855000,0
Chris Carter,34OLB,Redskins,,UFA,0%,29,855000,80000
Bradley Sowell,LT,Bears,Bears,Signed,4.7%,29,1500000,850000
Mark Herzlich,43OLB,Giants,,UFA,0%,31,855000,80000
Sam Acho,34OLB,Bears,Bears,Signed,2.6%,30,2750000,2950000
Rafael Bush,S,Saints,Bills,Signed,44.5%,31,1750000,800000
Austin Davis,QB,Seahawks,,UFA,0%,29,855000,50000
Brian Quick,WR,Redskins,,UFA,8%,29,855000,80000
Justin Trattou,43DE,Buccaneers,,UFA,0%,30,855000,80000
Amini Silatolu,LT,Panthers,Panthers,Signed,2%,30,880000,90000
Justin Hunter,WR,Steelers,Steelers,Signed,11%,27,870000,30000
Jordan Hill,43DT,Lions,,UFA,0%,27,855000,85000
Benny Cunningham,RB,Bears,Bears,Signed,3.4%,28,1050000,150000
Nickell Robey-Coleman,CB,Rams,Rams,Signed,54.9%,26,5225000,6625000
Daeshon Hall,43DE,Panthers,Eagles,Signed,1.5%,23,645000,0
Jonotthan Harrison,C,Jets,Jets,Signed,50.6%,27,880000,90000
Cody Kessler,QB,Browns,Jaguars,Signed,25.3%,25,847271,664788
ArDarius Stewart,WR,Jets,,SFA,0%,25,844144,846324
KeiVarae Russell,CB,Bengals,Bengals,Signed,12.1%,25,687500,0
Joe Looney,C,Cowboys,Cowboys,Signed,100%,28,1050000,250000
Clive Walford,TE,Raiders,Jets,Signed,0.2%,27,705000,0
Carlos Henderson,WR,Broncos,,SFA,0%,24,831496,817984
Tyler Lockett,WR,Seahawks,Seahawks,Signed,84.7%,26,10600000,11000000
Jarvis Jenkins,34DE,Chiefs,,UFA,17.5%,30,825000,0
Chris Jones,43DT,49ers,,UFA,0%,28,825000,50000
Kareem Hunt,RB,Chiefs,,SFA,48.2%,23,821431,775952
Shon Coleman,LT,Browns,49ers,Signed,0%,27,819704,787536
Antonio Garcia,LT,Patriots,,SFA,0%,25,819038,786152
Hroniss Grasu,C,Bears,,SFA,6.7%,27,814855,761920
Jamon Brown,RG,Rams,Giants,Signed,52%,25,812744,754816
Daryl Worley,CB,Panthers,Raiders,Signed,49%,23,630000,0
Tarell Basham,43DE,Colts,Jets,Signed,8.9%,24,808878,835856
Bradley Marquez,WR,Lions,,SFA,0.7%,26,807500,0
Junior Galette,34OLB,Redskins,,UFA,0%,30,800000,0
E.J. Manuel,QB,Raiders,,UFA,0%,28,800000,0
Bruce Carter,ILB,Jets,Falcons,Signed,7.3%,30,790000,0
John Jenkins,34DT,Bears,Giants,Signed,11.8%,29,790000,0
Branden Oliver,RB,Chargers,,UFA,0%,27,800000,50000
Adolphus Washington,43DT,Bills,Bengals,Signed,12.2%,24,815000,0
Brendan Langley,CB,Broncos,Broncos,Signed,0%,24,600000,0
Pierre Desir,CB,Colts,Colts,Signed,86.1%,28,1750000,750000
Billy Turner,RG,Broncos,Broncos,Signed,76.7%,27,2000000,750000
Randy Bullock,K,Bengals,Bengals,Signed,31.6%,29,2102500,750000
Ryan Quigley,P,Vikings,,SFA,0%,28,782500,0
Kendall Fuller,CB,Redskins,Chiefs,Signed,91.4%,23,780856,718424
Braxton Miller,WR,Texans,,SFA,0%,26,778526,709104
Duke Johnson,RB,Browns,Browns,Signed,42%,25,5203333,5957000
Charles Sims,RB,Buccaneers,,UFA,0%,28,775773,684092
Leonte Carroo,WR,Dolphins,Dolphins,Signed,4.3%,24,630000,0
Quinton Dial,34DE,Packers,,UFA,0%,28,775001,0
Gerald Hodges,ILB,Saints,Cardinals,Signed,31.9%,27,790000,0
Robert McClain,CB,Buccaneers,,UFA,0%,30,775000,0
Andrew Gachkar,43OLB,Panthers,,UFA,0%,30,775000,0
Josh Bynes,ILB,Cardinals,Cardinals,Signed,65%,29,1858333,1250000
Don Barclay,LG,Lions,,UFA,0%,29,775000,0
Shamarko Thomas,S,Bills,,UFA,1.8%,27,775000,0
Akeem Ayers,43OLB,Giants,,UFA,0%,29,775000,0
Jelani Jenkins,34OLB,Texans,,UFA,0%,26,775000,0
Bryan Braman,43DE,Eagles,,UFA,0%,31,775000,0
Sean Spence,ILB,Steelers,,UFA,0%,28,775000,0
Christine Michael,RB,Colts,,UFA,0.3%,28,775000,0
Daimion Stafford,S,Steelers,,UFA,0%,27,775000,0
Mike Person,LG,Colts,49ers,Signed,94.5%,30,915000,0
Stefan Charles,34DT,Chiefs,,UFA,0%,30,775000,0
T.J. Yates,QB,Texans,,UFA,0%,31,775000,0
George Johnson,43DE,Saints,,UFA,0%,31,775000,0
Brock Osweiler,QB,Broncos,Dolphins,Signed,37%,28,880000,630000
Brandon Boykin,CB,Ravens,,UFA,0%,28,775000,0
Matt Overton,LS,Jaguars,Jaguars,Signed,20.7%,33,790000,0
Sterling Moore,CB,Saints,,UFA,0%,28,775000,0
Jeff Cumberland,TE,Chargers,,UFA,0%,31,775000,0
Leon McFadden,CB,Falcons,,UFA,0%,28,775000,0
Blidi Wreh-Wilson,CB,Falcons,Falcons,Signed,2.7%,29,880000,90000
Josh Bellamy,WR,Bears,Bears,Signed,29.9%,29,1907000,0
Jonathan Freeny,43OLB,Saints,,UFA,0%,29,775000,0
Brian Schwenke,RG,Titans,Patriots,Signed,0.4%,27,790000,0
Cedric Thornton,43DT,Bills,,UFA,0%,30,775000,0
Michael Mauti,ILB,Saints,,UFA,0%,28,775000,0
Clay Harbor,TE,Saints,,UFA,0%,31,775000,0
Lavar Edwards,43DE,Browns,,UFA,0%,28,775000,0
Matt Barkley,QB,Cardinals,Bills,Signed,6.9%,28,2000000,600000
Mike James,RB,Lions,,UFA,0%,27,775000,0
Logan Paulsen,TE,49ers,Falcons,Signed,34.2%,31,1005000,200000
Earl Watford,RG,Cardinals,Browns,Signed,0.5%,28,950000,0
John Hughes,43DT,Saints,,UFA,0%,30,775000,0
Byron Maxwell,CB,Seahawks,,UFA,0%,30,775000,0
Darryl Morris,CB,Giants,,UFA,0%,28,775000,0
David Bass,34OLB,Jets,,UFA,0%,28,775000,0
Phillip Taylor,34DT,Redskins,,UFA,0%,30,775000,0
Steven Johnson,ILB,Ravens,,UFA,0%,30,775000,0
Adam Gettis,C,Buccaneers,,UFA,0%,30,775000,0
Deonte Thompson,WR,Bills,Bills,Signed,21.4%,29,790000,0
Asa Jackson,CB,49ers,,UFA,0%,29,775000,0
Arthur Jones,34DE,Redskins,,UFA,0%,32,775000,0
Zach Line,FB,Saints,Saints,Signed,21.7%,28,1100000,200000
Tony Bergstrom,C,Redskins,Redskins,Signed,49.9%,32,880000,90000
Jordan Todman,RB,Texans,,UFA,0%,28,775000,0
Sean Weatherspoon,43OLB,Falcons,,UFA,0%,31,775000,0
Julian Stanford,ILB,Jets,Bills,Signed,10%,28,1500000,550000
Taiwan Jones,RB,Bills,Bills,Signed,0.2%,30,880000,45000
Tim Barnes,C,49ers,,UFA,0%,30,775000,0
Stevan Ridley,RB,Steelers,Steelers,Signed,5.5%,29,790000,0
Brandon Bolden,RB,Patriots,Dolphins,Signed,2.7%,28,850000,0
Nick Bellore,ILB,Lions,Lions,Signed,0%,29,1005000,90000
Brandon Williams,TE,Colts,,UFA,0%,31,775000,0
Bryce Harris,LT,Saints,,UFA,0%,29,775000,0
Josh LeRibeus,C,Saints,Saints,Signed,17%,29,790000,0
Kelvin Sheppard,ILB,Giants,Lions,Signed,1.1%,30,790000,0
Patrick Robinson,CB,Eagles,Saints,Signed,10.7%,31,5000000,8000000
Travaris Cadet,RB,Bills,Panthers,Signed,2.3%,29,790000,0
Tyrunn Walker,34DT,Rams,Saints,Signed,0%,28,790000,0
Vince Biegel,ILB,Packers,Saints,Signed,0.2%,25,555000,0
Eli Harold,43OLB,49ers,Lions,Signed,18.5%,24,767843,697372
Kai Forbath,K,Vikings,Jaguars,Signed,1.9%,31,860000,0
Aaron Brewer,LS,Cardinals,Cardinals,Signed,31.3%,28,1037500,620000
Marcus Martin,LG,Browns,Cowboys,Signed,0%,25,880000,0
Joe Williams,RB,49ers,,SFA,0%,25,757346,629384
Rees Odhiambo,LG,Seahawks,Cardinals,Signed,0%,26,675000,0
Nico Siragusa,LG,Ravens,Packers,Signed,0%,24,525000,0
Jaelen Strong,WR,Jaguars,,SFA,0%,24,752183,0
Lorenzo Mauldin,34OLB,Jets,,SFA,0%,26,752004,674016
Preston Brown,ILB,Bills,Bengals,Signed,33.2%,26,5000000,2000000
Jay Bromley,43DT,Giants,Saints,Signed,2.6%,26,790000,0
David Johnson,RB,Cardinals,Cardinals,Signed,63.7%,27,13000000,24682500
David Sharpe,LT,Raiders,Raiders,Signed,1.7%,23,600000,0
Vincent Valentine,43DT,Patriots,Cardinals,Signed,3.9%,24,600000,0
Sammie Coates,WR,Browns,,SFA,3.4%,25,746254,631516
Donnel Pumphrey,RB,Eagles,,SFA,0%,24,743972,575888
Parker Ehinger,LG,Chiefs,Cowboys,Signed,0%,26,742603,602912
Danielle Hunter,43DE,Vikings,Vikings,Signed,84.3%,24,14400000,16907000
Ryan Switzer,WR,Cowboys,Steelers,Signed,26.9%,24,742246,568984
Cyrus Kouandjio,LT,Broncos,,SFA,0.7%,25,740000,0
Robert Nelson,CB,Jets,,SFA,0%,28,740000,0
Orson Charles,TE,Chiefs,Browns,Signed,15.9%,27,790000,0
Nick Becton,LT,Giants,,SFA,0%,28,740000,0
Caraun Reid,43DT,Colts,Cowboys,Signed,18.1%,27,790000,0
Connor Cook,QB,Raiders,,SFA,0%,25,739972,619888
Charles Tapper,43DE,Cowboys,,SFA,0%,25,739470,617880
Travis Swanson,C,Lions,Dolphins,Signed,69.9%,27,850000,0
Sean Harlow,LG,Falcons,,SFA,0%,23,738576,554304
Carl Davis,34DE,Ravens,Browns,Signed,2.6%,26,738084,625084
Chaz Green,RT,Cowboys,Raiders,Signed,5.6%,24,705000,0
Ty Montgomery,RB,Packers,Ravens,Signed,23.6%,25,737199,606544
Zach Banner,RT,Browns,Steelers,Signed,0%,25,555000,0
Logan Thomas,TE,Bills,Bills,Signed,26.8%,27,790000,0
Henry Anderson,34DE,Colts,Jets,Signed,59.6%,27,734294,613676
Malcolm Mitchell,WR,Patriots,,SFA,0%,26,729498,577992
Rashaan Melvin,CB,Colts,Raiders,Signed,58.9%,29,5500000,4850000
Pharoh Cooper,WR,Rams,Cardinals,Signed,0.5%,23,723667,0
Juston Burris,CB,Jets,Browns,Signed,0%,25,630000,0
Tyler Ervin,RB,Texans,,SFA,7%,25,721892,547568
Terrence Brooks,S,Jets,Jets,Signed,6.2%,27,2000000,800000
Spencer Long,C,Redskins,Jets,Signed,80.3%,28,6850000,6000000
Antonio Morrison,ILB,Colts,Packers,Signed,28.1%,24,714977,519908
Deiondre' Hall,S,Bears,Eagles,Signed,0.6%,24,712723,510892
Jehu Chesson,WR,Chiefs,Redskins,Signed,0.7%,25,600000,0
Evan Boehm,RG,Cardinals,Colts,Signed,31.4%,25,630000,0
Kareem Martin,34OLB,Cardinals,Giants,Signed,55.6%,26,5000000,7250000
Bryce Petty,QB,Jets,,SFA,0%,27,708424,553696
Terrence Magee,RB,Falcons,,SFA,0%,25,708333,0
Phillip Gaines,CB,Chiefs,Browns,Signed,40.4%,27,880000,45000
Chad Hansen,WR,Jets,,SFA,0%,23,704912,419648
David King,34DE,Titans,,UFA,0%,29,703200,0
Donte Moncrief,WR,Colts,Jaguars,Signed,78.2%,25,9600000,9600000
TJ Clemmings,LT,Redskins,Raiders,Signed,5.6%,27,701239,524956
Kenny Wiggins,RG,Chargers,Lions,Signed,74%,30,2500000,750000
John Brown,WR,Cardinals,Ravens,Signed,63.8%,28,5000000,4000000
Blake Bell,TE,Vikings,Jaguars,Signed,21.3%,27,705000,0
Michael Schofield,LG,Chargers,Chargers,Signed,98.3%,28,2500000,2500000
Andrew Donnal,RT,Ravens,Lions,Signed,0%,26,705000,0
Josh Shaw,S,Bengals,Buccaneers,Signed,9.3%,26,705000,0
Jerick McKinnon,RB,Vikings,49ers,Signed,0%,26,7500000,11700000
Richard Rodgers,TE,Packers,Eagles,Signed,3.8%,26,880000,245000
Brenton Bersin,WR,Panthers,,UFA,0%,28,690000,0
Jordan Tripp,43OLB,Falcons,,UFA,0%,27,690000,0
Kenjon Barner,RB,Eagles,Panthers,Signed,4.4%,29,790000,0
Jon Bostic,ILB,Colts,Steelers,Signed,53.7%,27,2000000,1400000
Peyton Thompson,S,Jaguars,,UFA,0%,28,690000,0
TJ Jones,WR,Lions,Lions,Signed,42.9%,26,1907000,0
David Fales,QB,Dolphins,Dolphins,Signed,0%,28,880000,90000
Adrian Phillips,S,Chargers,Chargers,Signed,66%,26,1500000,500000
Chris Gragg,TE,Jets,,UFA,0%,28,690000,0
Ed Stinson,34DE,Jets,,UFA,0%,28,690000,0
Tavarres King,WR,Giants,,UFA,0%,28,690000,0
Kasim Edebali,43DE,Saints,Bengals,Signed,0.2%,29,790000,0
Will Clarke,43DE,Buccaneers,,UFA,1.7%,27,690000,0
Andre Williams,RB,Chargers,,UFA,0%,26,690000,0
Cameron Brate,TE,Buccaneers,Buccaneers,Signed,47.8%,27,6800000,7000000
Cairo Santos,K,Bears,Buccaneers,Signed,19.9%,27,790000,0
Dewey McDonald,43OLB,Seahawks,,UFA,0%,28,690000,0
Andrew DePaola,LS,Bears,Raiders,Signed,0.4%,31,1067500,875000
Cornelius Lucas,LT,Rams,,UFA,5%,27,690000,0
Derrick Coleman,FB,Falcons,Cardinals,Signed,8%,28,790000,0
Michael Ola,RT,Chargers,Saints,Signed,3%,30,790000,0
Asante Cleveland,TE,Chargers,,UFA,0%,26,690000,0
Jeremiah Sirles,LG,Vikings,Bills,Signed,13%,27,790000,0
Steven Terrell,S,Chiefs,,UFA,0%,28,690000,0
Bene Benwikere,CB,Cowboys,Raiders,Signed,53.3%,27,790000,0
Jordan Devey,LG,Chiefs,Chiefs,Signed,12.8%,30,880000,90000
Scott Simonson,TE,Panthers,Giants,Signed,28%,26,705000,0
Fitzgerald Toussaint,RB,Steelers,,UFA,0%,28,690000,0
Ty Nsekhe,LT,Redskins,Redskins,Signed,39.5%,33,2914000,0
Jaylen Watkins,S,Eagles,Chargers,Signed,0%,26,880000,60000
Ben Garland,C,Falcons,Falcons,Signed,35%,30,2914000,0
Tre Boston,S,Chargers,Cardinals,Signed,85.2%,26,1500000,800000
Adarius Taylor,ILB,Buccaneers,Buccaneers,Signed,9.8%,28,1040000,250000
Bishop Sankey,RB,Vikings,,UFA,0%,26,690000,0
Crockett Gillmore,TE,Ravens,,UFA,0%,27,682754,506016
Natrell Jamerson,S,Texans,Packers,Signed,8.3%,23,681406,265624
Shaquille Mason,RG,Patriots,Patriots,Signed,85.2%,25,9000000,23500000
Cardale Jones,QB,Chargers,,SFA,0%,26,680848,383392
Bashaud Breeland,CB,Redskins,Packers,Signed,30.9%,26,880000,90000
Deon King,43OLB,Jaguars,,SFA,0%,25,675000,0
Jordan Morgan,LG,Bears,,SFA,0%,26,674012,296048
Matt Jones,RB,Colts,,SFA,0%,24,674000,0
Justin Ellis,43DT,Raiders,Raiders,Signed,12.9%,28,4500000,6250000
Cassius Marsh,43DE,49ers,49ers,Signed,51.2%,26,3850000,3100000
Russell Bodine,C,Bengals,Bills,Signed,55.5%,26,2500000,2150000
DaQuan Jones,34DE,Titans,Titans,Signed,55.9%,27,7000000,14000000
Aaron Colvin,CB,Jaguars,Texans,Signed,29.7%,27,8500000,18000000
Geneo Grissom,43DE,Patriots,Colts,Signed,2.2%,25,705000,0
Will Holden,LT,Cardinals,Cardinals,Signed,15.6%,25,600000,0
Jermaine Eluemunor,RG,Ravens,Ravens,Signed,7.9%,24,555000,0
Roderick Johnson,LT,Browns,Texans,Signed,0%,23,525000,0
Keith McGill,S,Raiders,,UFA,0%,29,666300,445200
De'Anthony Thomas,WR,Chiefs,Chiefs,Signed,3.4%,25,880000,90000
Isaac Asiata,RG,Dolphins,Dolphins,Signed,0%,26,555000,0
Martavis Bryant,WR,Steelers,Raiders,Signed,21%,27,1907000,0
Anthony Hitchens,ILB,Cowboys,Chiefs,Signed,80.1%,26,9000000,21290000
Avery Moss,34OLB,Giants,,SFA,0%,24,663695,254780
Treston Decoud,CB,Texans,,SFA,0%,25,662337,249348
Rodney Adams,WR,Vikings,,SFA,0%,24,661629,246516
Ibraheim Campbell,S,Texans,Packers,Signed,10.7%,25,705000,0
MyCole Pruitt,TE,Texans,Titans,Signed,19.4%,26,675000,0
Akeem Hunt,RB,Chiefs,,SFA,0%,25,660000,0
Isaiah Johnson,S,Rams,,SFA,0.5%,26,660000,0
Taylor Heinicke,QB,Texans,Panthers,Signed,8.6%,25,660000,0
Derron Smith,S,Browns,,SFA,0%,26,660000,0
Obum Gwacham,34OLB,Jets,,SFA,0%,27,660000,0
Tyreek Burwell,LT,Colts,,SFA,0%,26,660000,0
Jonathan Anderson,ILB,Bears,,SFA,0%,27,660000,0
